language,term,translation,parent,status
Spanish,turbulencia,turbulence,,1
Spanish,siempre que,whenever; as long as,,1
Spanish,juventud,youth,,1
Spanish,asustar,(to) frighten; (to) get frightened; scare,,1
Spanish,hospedarse,stay; stayed; staying,,1
Spanish,magnífico,fine; superb; wonderful,,1
Spanish,atardecer,sunset,,1
Spanish,casi nunca,rarely,,1
Spanish,amanecer,dawn; (to) stay up all night; daybreak,,1
Spanish,viajero,traveler,,1
Spanish,leyenda,caption; legend,,1
Spanish,bañarse,(to) swim (oneself); (to) have / take a shower (oneself); (to) give … a bath (oneself),,1
Spanish,escala,(you-formal) scale up; layover; (you-formal) scale down,,1
Spanish,aterrizar,touch; landed; setting,,1
Spanish,dormirse,getting; go; get,,1
Spanish,despegar,take; lift; taking off,,1
Spanish,embarcar,board; to board; boarding,,1
Spanish,ballet,ballet,,1
Spanish,admirar,look; admire; looks,,1
Spanish,brillante,diamond; brilliant; strong,,1
Spanish,película de suspenso,thriller,,1
Spanish,autorretrato,self-portrait,,1
Spanish,aplaudir,cheers; clap,,1
Spanish,seguramente,probably; certainly; surely,,1
Spanish,internacionalmente,internationally,,1
Spanish,obra,play; performance; work of art,,1
Spanish,escultor,sculptor,,1
Spanish,anterior,earlier; past; before,,1
Spanish,exhibición,screening; display; showing,,1
Spanish,episodio,episode,,1
Spanish,espectador,member of the audience; observer; spectator,,1
Spanish,estreno,premiere; release; opening,,1
Spanish,entrevistar,interview; interviewing,,1
Spanish,celebridad,celebrity,,1
Spanish,retrato,pictures; portrait,,1
Spanish,presentador,host; presenter,,1
Spanish,ecologista,ecologist; green; greener,,1
Spanish,pingüino,penguin,,1
Spanish,mariposa,butterfly; moth,,1
Spanish,jirafa,giraffe,,1
Spanish,selva,forest; jungle,,1
Spanish,natural,easier; organic; natural,,1
Spanish,ave,bird,,1
Spanish,tortuga,tortoise; turtle,,1
Spanish,medio ambiente,environmental; environment,,1
Spanish,proteger,(to) protect; (to) champion; (to) defend,,1
Spanish,cambio climático,climate change,,1
Spanish,desastre,disaster; mess,,1
Spanish,contaminación,pollution,,1
Spanish,esencial,essential,,1
Spanish,cultivo,cultivation; (I) encourage; farming,,1
Spanish,arroyo,stream; burn,,1
Spanish,bahía,bay,,1
Spanish,ola,wave; waves,,1
Spanish,atracción,entertainment; attraction; call,,1
Spanish,marino,marine; sailor,,1
Spanish,delfín,dolphin,,1
Spanish,ballena,whale; stay,,1
Spanish,científico,scientist; scientific,,1
Spanish,poco a poco,little by little,,1
Spanish,económico,inexpensive; cheap; economical,,1
Spanish,por lo general,generally; typically; in general,,1
Spanish,vida nocturna,nightlife,,1
Spanish,vecindario,neighborhood,,1
Spanish,guitarrista,guitarist; guitar player,,1
Spanish,acostumbrarse,get used to,,1
Spanish,arquitectura,architecture,,1
Spanish,ciudad natal,hometown,,1
Spanish,pariente,relative; relation,,1
Spanish,cumplir,acting; (to) carry out; makes,,1
Spanish,visitado,visited; visited with; been,,1
Spanish,sexto,sixth,,1
Spanish,encargarse,handling,,1
Spanish,comparar,compared; compare,,1
Spanish,agotado,dead; exhausted oneself; worn … out,,1
Spanish,dañado,damages; injured; damaged,,1
Spanish,fijarse,notice; check; setting,,1
Spanish,parecido,like; looked; resemblance,,1
Spanish,en primer lugar,first; first of all,,1
Spanish,en segundo lugar,second of all; b,,1
Spanish,reemplazar,(to) replace; be replaced; (to) stand in for,,1
Spanish,quinto,fifth,,1
Spanish,plazo,term; period; deadline,,1
Spanish,manchado,dirty; stained,,1
Spanish,vencido,expired; defeated,,1
Spanish,quejarse,complain; complaining,,1
Spanish,aceptable,adequate; acceptable,,1
Spanish,gasto,(I) spend; expenditure; (I) wear down,,1
Spanish,lógico,of course; logical; logician (m.),,1
Spanish,una vez que,once,,1
Spanish,rastrear,track; sweep,,1
Spanish,envío,(I) dispatch; shipping; (I) send,,1
Spanish,en cuanto,as soon as; when,,1
Spanish,chequear,look; looks; looking,,1
Spanish,de más,too much; (some) extra; extra,,1
Spanish,actitud,attitude; posture,,1
Spanish,reclamo,crying; call; claim,,1
Spanish,reembolso,refund,,1
Spanish,ni siquiera,not even; even,,1
Spanish,supervisor,supervisor,,1
Spanish,queja,complaint,,1
Spanish,con gas,carbonated,,1
Spanish,manzanilla,chamomile,,1
Spanish,necesitaría,need; want; needed,,1
Spanish,importaría,mind; matter,,1
Spanish,chuleta,pork chop; chop,,1
Spanish,carne de res,beef; meat,,1
Spanish,molestaría,(?) would it bother,,1
Spanish,cocido,cooked; boiled,,1
Spanish,me gustaría,I would like; I'd like,,1
Spanish,cordero,lamb,,1
Spanish,puede ser,(?) is that alright; maybe,,1
Spanish,mariscos,shellfish; seafood,,1
Spanish,traería,(I/he/she/it/you) would bring; (I/he/she/it/you) would wear; got,,1
Spanish,tocino,bacon,,1
Spanish,servilleta,serviette; napkin,,1
Spanish,bañera,lifeguard; bathtub; bath,,1
Spanish,devolución,return; returns,,1
Spanish,además de,on top of,,1
Spanish,manchar,soil; dirty,,1
Spanish,realizar,(to) carry out; (to) fulfill; out,,1
Spanish,si no,otherwise,,1
Spanish,dejar de,give up,,1
Spanish,caer,fall; caught; (to) fall down,,1
Spanish,enseguida,straightaway; right away; immediately,,1
Spanish,vidrio,glass,,1
Spanish,mudanza,move; moving; removal,,1
Spanish,radiador,heater,,1
Spanish,similar,similar; like,,1
Spanish,bombilla,light bulb,,1
Spanish,prender,caught; lit; takes,,1
Spanish,se paga,(he/she/it)  pays; paid off; repaid,,1
Spanish,se puede,one can; (?) can one,,1
Spanish,reparación,repair; redress; reparation,,1
Spanish,garantía,guarantor; surety; warranty,,1
Spanish,top,top,,1
Spanish,floreado,flower-print,,1
Spanish,extragrande,XL,,1
Spanish,corto,shortest; short; (I) cut,,1
Spanish,chal,throw; shawl,,1
Spanish,hebilla,buckle; buckles,,1
Spanish,plateado,silver,,1
Spanish,incómodo,uncomfortable; awkward,,1
Spanish,rebaja,sale; discounts; reduction,,1
Spanish,deportivo,sports,,1
Spanish,bikini,bikini,,1
Spanish,colonia,cologne; colony; community,,1
Spanish,formal,dependable; reliable; responsible,,1
Spanish,salón de belleza,beauty salon; salon,,1
Spanish,unos cuantos,some,,1
Spanish,mostrar,show; (to) show; displaying,,1
Spanish,regalártelo,give it as a gift,,1
Spanish,perla,pearl,,1
Spanish,sofisticado,fancy; sophisticated,,1
Spanish,tacón,heel,,1
Spanish,gel,gel,,1
Spanish,pasta de dientes,toothpaste,,1
Spanish,antibacterial,antibacterial,,1
Spanish,pañuelo,scarf; handkerchief; headscarf,,1
Spanish,lápiz labial,lipstick,,1
Spanish,cortaúñas,nail clippers,,1
Spanish,cortarse,cutting; sour; cut,,1
Spanish,esmalte de uñas,nail polish,,1
Spanish,uña,toenail; plectrum; pick,,1
Spanish,peluquería,hair salon,,1
Spanish,belleza,beauty; look; looks,,1
Spanish,acondicionador,conditioner,,1
Spanish,rizado,curly,,1
Spanish,peluquero,hairdresser,,1
Spanish,afeitarse,(to) shave off (oneself); (to) scrape (oneself); (to) trim (oneself),,1
Spanish,loción,lotion,,1
Spanish,desodorante,deodorant,,1
Spanish,protector solar,sunscreen,,1
Spanish,corporal,body,,1
Spanish,pantufla,slipper; slippers,,1
Spanish,tejer,knit,,1
Spanish,perfumería,perfume shop,,1
Spanish,al revés,inside out; backwards; upside down,,1
Spanish,manga,pack; sleeves; sleeve,,1
Spanish,etiqueta,tag; label; sticker,,1
Spanish,pulóver,sweater,,1
Spanish,seda,silk,,1
Spanish,atar,lock; tie,,1
Spanish,cordón,shoelace,,1
Spanish,joyería,jewelry store; jewelry,,1
Spanish,zapatería,shoe store,,1
Spanish,ganga,stolen; steal; deal,,1
Spanish,colorido,color; colors; coloring,,1
Spanish,aro,hoop; band; ring,,1
Spanish,lino,linen,,1
